Time,IOC,IOC Type,IP,Country,ISP,Abuse Score,Reports,Risk
185.220.101.15,IP Address,185.220.101.15,DE,Artikel10 e.V.,100,167,100,High Risk 🔴,2026-03-12 04:34:26
91.214.240.0,IP Address,91.214.240.0,RU,Altagen JSC,0,0,0,Low Risk 🟢,2026-03-12 04:35:01
8.8.4.4,IP Address,8.8.4.4,US,Google LLC,0,30,100,High Risk 🔴,2026-03-12 04:35:23
44d88612fea8a8f36de82e1278abb02f,IP Address,N/A,N/A,N/A,0,0,0,Low Risk 🟢,2026-03-12 04:36:20
44d88612fea8a8f36de82e1278abb02f,File Hash,0,0,N/A,2026-03-12 04:36:24
44d88612fea8a8f36de82e1278abb02f,File Hash,0,0,N/A,2026-03-12 04:36:27
44d88612fea8a8f36de82e1278abb02f,File Hash,0,0,N/A,2026-03-12 04:36:32
3395856ce81f2b7382dee72602f798b642f14140,File Hash,0,0,N/A,2026-03-12 04:37:20
